koolhydraten,vet,kcal,product,eenheid
3, 20, 232 ,Ontbijtkoek ,100 gr
68, 0, 288 ,"Ontbijtkoek, Met Noten ",100 gr
55.5, 12.3, 367 ,Ontbijtspek ,100 gr
0, 85, 785 ,Ossenhaas ,100 gr
1.2, 9.1, 189 ,Ossenworst ,100 gr
0.7, 14.4, 232 ,Ovenfrites ,100 gr
46, 8.8, 286 ,Paardenbiefstuk ,100 gr
0, 3, 107 ,Paardenrookvlees ,100 gr
0, 0, 88 ,"Paling, Gerookt ",100 gr
0, 23.8, 286 ,"Paling, Gestoofd ",100 gr
0, 12.4, 175 ,Palingworst ,100 gr
4, 40, 424 ,Pandabrood ,100 gr
36.4, 7.5, 270 ,Paneermeel ,1 eetlepel
6, 1, 37 ,Pannenkoek ,1 stuk
29.2, 4.9, 194 ,Papaya ,100 gr
9, 0, 36 ,"Paprika, Groen ",100 gr
6, 0, 28 ,"Paprika, Rood ",100 gr
10, 0, 48 ,Paranoten ,100 gr
10, 67, 683 ,Parelhoen ,100 gr
0, 6.4, 150 ,Parmezaanse Kaas ,100 gr
0.2, 33, 457 ,Passievrucht ,100 gr
19, 2, 102 ,Pasta ,100 gr
71.3, 1.5, 347 ,Pastei ,100 gr
5.6, 20, 242 ,Pasteibakje ,100 gr
42, 51, 655 ,Patat Frites ,100 gr
35, 15, 260 ,Paté ,100 gr
4, 40, 420 ,Patrijs ,100 gr
0.5, 1.4, 115 ,Paturain ,100 gr
2.5, 31.5, 328 ,Pekelvlees ,100 gr
0, 25, 289 ,Pennywafel ,100 gr
67.5, 21.1, 482 ,Peperkoek ,100 gr
60.4, 0.9, 263 ,Pepermunt ,100 gr
99, 0, 396 ,Pepernoten ,100 gr
68.3, 21.3, 489 ,"Peren, Op Siroop ",100 gr
14.7, 0, 60 ,Perensap ,1 glas
8.7, 0, 35 ,Perenstroop ,100 gr
54.6, 0, 226 ,"Peren, Vers ",1 stuk
12, 0, 52 ,"Perziken, Op Siroop ",100 gr
17, 0, 70 ,"Perziken, Vers ",1 stuk
10.5, 0.1, 46 ,Peterselie ,100 gr
6.3, 0, 56 ,Petitfour ,100 gr
40, 33, 477 ,Piccalily ,1 eetlepel
2, 0, 8 ,Pijnboompitten ,100 gr
20, 60, 670 ,Pim's Cake ,100 gr
52, 9.5, 312 ,Pindakaas ,100 gr
16.2, 53.1, 647 ,"Pinda's, Gezouten ",100 gr
8.6, 52.8, 625 ,"Pinda's, Ongezouten ",100 gr
12.6, 51.6, 629 ,"Pistachenootjes, Gep ",100 gr
5, 55, 591 ,Pistolet ,1 stuk
23, 0, 104 ,Pitabroodje ,100 gr
53, 1.2, 257 ,Pitasaus ,100 gr
6.3, 61.7, 586 ,Pizza ,100 gr
23.5, 11, 224 ,Poestasaus ,100 gr
23, 0, 100 ,"Poffertjes, Met Boter ",100 gr
30, 12, 245 ,Pomodoro ,100 gr
6, 1, 41 ,Pompelmoes ,1 stuk
17, 0, 72 ,Pompoen ,100 gr
8, 0, 36 ,"Poon, Gekookt ",100 gr
0, 5, 113 ,Popcorn ,100 gr
72, 4, 376 ,Port Salut ,100 gr
0, 25.5, 314 ,Postelein ,100 gr
4.3, 0.3, 26 ,"Postelein, Gekookt ",100 gr
2, 0, 16 ,Prei ,100 gr
5, 0, 28 ,Prei- En Hamsalade ,100 gr
8.5, 25.3, 271 ,Prinsessenbonen ,100 gr
5, 0, 32 ,"Pruimen, Geweekt ",100 gr
29.3, 0, 122 ,"Pruimen, Op Siroop ",100 gr
17, 0, 68 ,"Pruimen, Vers ",1 stuk
6, 0, 24 ,Quorn ,100 gr
1.8, 3.2, 86 ,Raap ,100 gr
4, 0, 16 ,Rabarber ,100 gr
4.5, 0, 8 ,Rabarbermoes ,100 gr
17, 0, 72 ,Radijsjes ,100 gr
4, 0, 20 ,Rambol ,100 gr
8, 22, 282 ,Rauwe Ham ,100 gr
0, 25, 305 ,Rauwkost ,Bladgroenten) (100 gr
2.1, 0, 13 ,Ravioli ,100 gr
12, 5, 113 ,Ree ,100 gr
0, 3.6, 118 ,Reuzel ,100 gr
0, 100, 900 ,Riblab ,100 gr
0, 14.4, 265 ,Rice Crispies ,100 gr
86, 1, 377 ,Ricotta ,100 gr
3.5, 16, 196 ,"Rijst, Basmati- ",100 gr
78.5, 0.5, 347 ,Rijstevlaai ,100 gr
31.7, 10.9, 255 ,Rijstevlaai ,100 gr
31, 10, 240 ,Rijstpap ,100 gr
23.2, 3.5, 137 ,Rijsttaart ,100 gr
38, 8.4, 249 ,Rijstwafel ,1 stuk
6, 0, 26 ,Rivella Light ,100 ml
1, 0, 4 ,Rode Bessen ,100 gr
5, 0, 24 ,Rode Biet ,100 gr
7.6, 0.1, 37 ,Rode Kool ,100 gr
5, 0, 28 ,Rodekool Met Appeltjes ,100 gr
9.1, 1, 50 ,Roerei ,100 gr
1.3, 10, 140 ,Roggebrood ,100 gr
40, 1, 189 ,Rolmops ,1 stuk
1, 9, 125 ,Rondo's ,100 gr
61.1, 18.8, 435 ,Rookvlees ,100 gr
0.6, 6.5, 152 ,Rookworst ,100 gr
1, 30, 320 ,"Rookworst, Light ",100 gr
2.5, 19, 255 ,Roomijs ,100 gr
20, 7, 159 ,Roomijs ,100 gr
22, 9.1, 181 ,"Roomkaas, 60+ ",100 gr
0, 38, 422 ,Roomsoes ,100 gr
33, 11, 248 ,Roquefort ,100 gr
1, 31, 359 ,Rosbief ,100 gr
0, 3, 115 ,Rösti ,100 gr
22.8, 5.1, 144 ,"Roti, Alleen Koek ",100 gr
43.4, 4.3, 244 ,Roti Kip ,100 gr
20.9, 4, 168 ,Rozenbottelsiroop ,100 gr
57, 0, 228 ,Rozijnen ,100 gr
64.8, 1, 276 ,Rozijnenbrood ,100 gr
50, 3, 255 ,Runderbouillon ,100 ml
0.3, 0, 1 ,Rundergehakt ,100 gr
0, 13, 197 ,"Runderlappen, Vet ",100 gr
0.7, 16.9, 278 ,Runderpoulet ,100 gr
0.5, 7.8, 195 ,Runderrollade ,100 gr
0.8, 5.7, 167 ,Rundertong ,100 gr
0.5, 16, 210 ,"Salami, ",Beleg) (100 gr
0, 50, 522 ,Sambal Oelek ,100 gr
2, 0, 20 ,Sandwichspread ,100 gr
14.5, 18, 228 ,Santen Kokosmelk ,100 gr
6, 34, 346 ,"Sardines, Uit Blik ",100 gr
1, 14, 226 ,"Saté, Kip-, Met Saus ",100 gr
6, 11, 187 ,Satésaus ,100 gr
18.5, 22.5, 310 ,"Saté, Varkens-, Met ",100 gr
6.8, 15.4, 226 ,"Saucijsjes, Varkens- ",100 gr
0, 20, 252 ,Saucijzenbroodje ,100 gr
33, 30, 446 ,"Saus, Napolitana ",100 gr
52, 0, 208 ,Scampi ,100 gr
0, 2, 90 ,"Schapenkaas, Turkse ",100 gr
8.9, 27.8, 341 ,Schapenvlees ,100 gr
0, 25, 293 ,"Schar, Gebakken ",100 gr
0.6, 3.3, 118 ,Schaschlik Saus ,100 gr
24, 0.1, 99 ,Schelvis ,100 gr
0, 0.5, 76 ,Schelvislever ,100 gr
0, 42.3, 408 ,"Schnitzel, Gepaneerd ",100 gr
6.3, 9.2, 188 ,Schol ,100 gr
0, 0.1, 68 ,Schorseneren ,100 gr
16, 0, 68 ,Schouderham ,100 gr
1, 14, 194 ,Schuimpjes ,100 gr
95, 0, 380 ,Schuimtaart ,100 gr
98, 0, 390 ,Selderijsalade ,100 gr
6, 34, 334 ,Selderijstengel ,100 gr
3.6, 0.2, 21 ,Sesamzaad ,100 gr
6, 54, 614 ,"Shoarma, Met Broodje ",100 gr
14.7, 14.9, 236 ,Shoarmarol ,100 gr
18.6, 8.2, 176 ,Shoarmavlees ,100 gr
0, 25, 293 ,Sinaasappel ,1 stuk
11, 0, 48 ,Sjalot ,100 gr
17, 0.2, 75 ,Sla ,100 gr
2, 0, 10 ,"Slagroom, Met Suiker ",100 gr
12.7, 32.3, 349 ,"Slagroom, Ongeklopt ",100 gr
3, 35.9, 344 ,Slagroomsoesje ,100 gr
13.5, 26.4, 309 ,Slagroomtaart ,100 gr
30, 20, 332 ,Slakken ,100 gr
2, 1, 81 ,"Slasaus, 25% ",100 gr
11, 25.8, 279 ,"Slasaus, 50% ",100 gr
6, 50, 478 ,"Slasaus, 5% Olie Of ",100 gr
12, 5, 93 ,Slavink ,100 gr
0, 23.8, 298 ,Smarties ,100 gr
70.5, 20.3, 483 ,"Smeerkaas, 20+ ",100 gr
8, 9, 185 ,"Smeerkaas, 30+ ",100 gr
1, 15, 219 ,"Smeerkaas, 40+ ",100 gr
1, 19, 251 ,"Smeerkaas, Volvet ",100 gr
1, 21, 269 ,Snickers ,1 stuk
31, 17, 301 ,"Snijbiet, Gekookt ",100 gr
3, 0, 24 ,Snijbonen ,100 gr
2, 0, 16 ,Snoek ,100 gr
0, 1, 82 ,"Soep, Gebonden ",100 gr
4, 3, 60 ,Soepgroente ,100 gr
6, 0, 32 ,"Soep, Helder ",100 gr
1, 2, 45 ,Soepstengel ,100 gr
67, 4, 360 ,Sojabonen ,100 gr
10.4, 7.6, 171 ,Sojabrokjes ,100 gr
10.6, 0.3, 114 ,"Sojadessert, Choco ",100 gr
13.1, 1.8, 81 ,Sojamelk ,100 gr
1, 2.6, 42 ,Sojasaus ,100 gr
18, 0, 120 ,Sojascheuten ,100 gr
4.6, 0.5, 31 ,Spaghetti ,100 gr
71, 1.5, 346 ,"Spaghetti, Volkoren- ",100 gr
64, 2.5, 332 ,Spareribs ,100 gr
0.9, 24, 308 ,Speculaas ,100 gr
73, 20, 493 ,"Spek, Gezouten ",100 gr
0, 53.3, 522 ,Spekkies ,100 gr
82, 0, 352 ,"Sperziebonen, Gekook ",100 gr
3.8, 0, 24 ,Spinazie ,100 gr
3, 0, 24 ,Spinazie A La Creme ,100 gr
5, 4, 68 ,"Spitskool, Rauw ",100 gr
4, 1, 37 ,Sprits ,100 gr
58.7, 31.4, 539 ,"Sprot, Gebakken ",100 gr
3, 26.2, 334 ,Spruitjes ,100 gr
7, 1, 53 ,Stamppot Boerenkool ,100 gr
12, 2, 80 ,Stamppot Rauwe Andijvie ,100 gr
12, 0, 60 ,Stamppot Wortel En Ui ,100 gr
8, 2, 60 ,Stamppot Zuurkool ,100 gr
10, 0, 50 ,Stokbrood ,100 gr
52, 2.1, 259 ,Strooiaroma ,100 gr
0.2, 0, 250 ,Stroop ,100 gr
72, 0, 288 ,Stroopwafel ,1 stuk
15, 8, 136 ,Struisvogelsteak ,100 gr
0, 2.7, 108 ,Studentenhaver ,100 gr
35.3, 32.4, 468 ,Suiker ,100 gr
100, 0, 400 ,Suikerbrood ,100 gr
64, 1.5, 294 ,Suikerklontje ,100 gr
100, 0, 400 ,Suikermeloen ,100 gr
6.3, 0, 28 ,Suikerwafel ,100 gr
60, 23, 467 ,Sultana-Koekje ,1 stuk
10, 2, 60 ,Suskadelapje ,100 gr
0, 13, 248 ,Taaitaai ,100 gr
60.4, 0.9, 263 ,Taartbodem ,100 gr
73, 3, 351 ,Taco Shells ,100 gr
60.8, 22.8, 478 ,Tagliatelle ,100 gr
70.8, 3.7, 373 ,Tahin ,100 gr
0.1, 51.7, 553 ,Tahoe ,100 gr
1, 11, 112 ,Tamari ,100 gr
10, 0.3, 102 ,Tartaar ,100 gr
0, 4.4, 127 ,Tarwebrood ,100 gr
45.1, 3.5, 250 ,Tarwekiemen ,100 gr
20, 11, 287 ,Taugé ,100 gr
3, 1, 41 ,Tempé ,100 gr
6, 7.3, 141 ,Thee ,1 glas
0, 0, 0 ,Tjap Tjoy ,100 gr
3.3, 7.3, 113 ,Toastje ,100 gr
67, 4, 359 ,Toffee ,100 gr
71, 17, 445 ,"Tofu, Naturel ",100 gr
1, 11, 112 ,Tomaten ,100 gr
3, 0, 16 ,Tomaten-Curry-Ketchup ,100 gr
22.2, 0, 92 ,Tomatenpuree ,100 gr
13.6, 0.5, 77 ,Tomatensap ,1 glas
3.5, 0, 18 ,Tompoes ,1 stuk
31, 12, 240 ,Tongfilets ,100 gr
0, 0, 72 ,"Tong, Kalfs-/runder- ",100 gr
0, 13.2, 188 ,"Tong, Varkens- ",100 gr
0.5, 18.3, 227 ,"Tonijn, In Eigen Nat ",100 gr
0, 0.5, 113 ,"Tonijn, In Olie ",100 gr
0, 16, 228 ,"Topping, Opgeklopt ",100 gr
23, 12, 216 ,Tortillachips ,100 gr
58, 30, 526 ,Tosti ,1 stuk
22, 12, 232 ,"Tuinbonen, Gekookt ",100 gr
4, 0, 36 ,Tuinkers ,100 gr
4.1, 0.7, 40 ,"Tuttifrutti, Geweekt ",100 gr
23.5, 0, 98 ,Tv-Worstjes ,100 gr
4, 14, 178 ,Tweedrank ,1 glas
9.9, 0, 40 ,Twix ,1 stuk
37, 13, 277 ,Ui ,100 gr
10, 0, 44 ,"Uiensoep, Franse ",100 gr
8, 2, 62 ,"Uitjes, Zilver-, Zoe ",100 gr
5.7, 0.1, 24 ,"Uitsmijter Ham, 2 Ei ",100 gr
16.3, 14.8, 250 ,Umer ,100 gr
3, 3, 65 ,Vanille- Ijs ,100 gr
25.5, 8, 187 ,Vanillepudding ,100 gr
19, 1.3, 105 ,"Vanillevla, Mager ",100 gr
13, 0.1, 67 ,"Vanillevla, Vol ",100 gr
10.1, 2.6, 75 ,Varkensfilet ,100 gr
0, 5.8, 178 ,Varkenshaas ,100 gr
0, 3.9, 147 ,Varkenskarbonade ,100 gr
0, 30.5, 336 ,Varkenslap ,100 gr
0, 5.6, 172 ,"Varkenslap, Vet ",100 gr
0, 23.9, 305 ,Varkensoester ,100 gr
0, 3.9, 147 ,Varkensreuzel ,100 gr
0, 99.7, 898 ,Varkensschnitzel ,100 gr
0, 8, 156 ,Varkensschouderlap ,100 gr
0, 18, 272 ,Vegatarische Groente ,100 gr
12.8, 7.5, 133 ,Vegetarische Hamburg ,100 gr
9.8, 5.5, 159 ,Vegetarische Kebab ,100 gr
7.7, 5, 150 ,Veldsla ,100 gr
0.7, 0.4, 13 ,Venkel ,100 gr
7, 0, 36 ,Vergetarische Schnit ,100 gr
14.4, 17, 272 ,Vermout Zoet ,1 glas
8, 0, 75 ,Vetarme Geraspte Kaa ,100 gr
0.1, 18, 280 ,Viennetta ,100 ml
12, 11, 155 ,Vietnamese Loempia ,100 gr
21.9, 9.6, 204 ,Vieux ,1 glaasje
0, 0, 70 ,"Vifit, Calcimel ",100 ml
11, 1, 65 ,"Vijgen, Gedroogd ",100 gr
53, 0, 228 ,"Vijgen, Vers ",100 gr
19, 0.8, 63 ,Vinaigrettesaus ,100 gr
0, 59, 532 ,Visburger ,100 gr
13.9, 13, 238 ,Vissalade ,100 gr
6.9, 24.5, 276 ,Visschnitzel ,100 gr
13.9, 13, 238 ,Vissticks ,100 gr
14, 7, 167 ,"Vla, Chocolade- ",100 gr
12.5, 2.6, 86 ,"Vla, Halfvol ",100 gr
9, 1, 70 ,"Vla, Vol ",100 gr
15, 3, 100 ,"Vleessaus, Uit Pakje ",100 gr
7.2, 4.5, 76 ,"Vleeswaren, Gemiddel ",100 gr
0, 14, 210 ,"Vleeswaren, Mager ",100 gr
0, 7, 140 ,Vlierbessen ,100 gr
18.4, 0.5, 73 ,Volkorenbiscuit ,100 gr
68, 16, 451 ,Volkorenbrood ,100 gr
40.5, 1.8, 211 ,Vruchtenhagelslag ,100 gr
98.2, 0, 393 ,Vruchtenkoekje ,100 gr
73, 0, 292 ,Vruchten Op Siroop ,100 gr
18.7, 0, 76 ,Vruchtensap ,1 glas
10.1, 0, 41 ,Vruchtensaus ,100 gr
40, 0, 160 ,Vruchtentaart ,100 gr
36.3, 11.6, 264 ,Vruchtenvlaai ,100 gr
37.4, 7.5, 231 ,Wafels ,1 stuk
21, 9, 177 ,Walnoten ,100 gr
8, 63, 659 ,Watergruwel ,100 gr
14, 0, 60 ,Waterkers ,100 gr
2.9, 0.3, 21 ,Watermeloen ,100 gr
5, 0, 24 ,Weense Worstjes ,100 gr
4, 7, 119 ,Whisky ,1 glaasje
0, 0, 85 ,"Wiener Melange, Uit ",1 kop
12.4, 2.8, 82 ,Wienerschnitzel ,100 gr
6.3, 9.2, 188 ,"Wijn, Rood ",1 glas
3, 0, 80 ,"Wijn, Rosé Droog ",1 glas
1.4, 0, 75 ,"Wijn, Wit Droog ",1 glas
0, 0, 70 ,"Wijn, Zoet ",1 glas
14, 0, 150 ,Wijting ,100 gr
0, 0.6, 77 ,Winegums ,100 gr
50, 0, 12 ,Witlof ,100 gr
2, 0, 12 ,"Witte Bonen, Gekookt ",100 gr
21.9, 2, 334 ,Witte Bonen In Tomat ,100 gr
12.7, 0.4, 75 ,"Wittebrood, Melk- ",100 gr
51.3, 2.9, 270 ,Witte Kool ,100 gr
4.2, 0.2, 24 ,Wodka ,1 glaasje
0, 0, 85 ,Wokkels ,100 gr
68, 21, 473 ,Worstenbroodje ,100 gr
25, 27, 395 ,Wortelen ,100 gr
7, 0, 32 ,Yoghurtdrank ,100 gr
13.3, 0, 66 ,"Yoghurt, Halfvol ",100 gr
4.7, 1.5, 50 ,"Yoghurt, Mager ",100 gr
4, 0.1, 33 ,"Yoghurt, Vitalinea 0 ",100 gr
11.4, 0.1, 68 ,"Yoghurt, Vol ",100 gr
3.5, 3.2, 56 ,"Yoghurt, Vol, Met Fr ",100 gr
14.2, 2.3, 93 ,Yogonaise ,100 gr
12, 25, 276 ,Zalmfilet ,100 gr
0, 14, 206 ,"Zalm, Gerookt ",100 gr
0, 4, 136 ,"Zalm, Uit Blik, Roze ",100 gr
0, 7.5, 160 ,"Zeebaars, Vers ",100 gr
0, 2, 97 ,"Zeeduivel, Vers ",100 gr
0, 0.4, 76 ,"Zeewolf, Vers ",100 gr
0, 2.8, 96 ,Zelfrijzend Bakmeel ,100 gr
74.2, 1, 354 ,Zemelen ,100 gr
27, 6, 218 ,Zemelkoek ,1 stuk
9.1, 1.1, 52 ,"Zilveruitjes, Zoetzuur ",100 gr
0, 0, 0 ,Zilvervliesrijst ,100 gr
78, 2.4, 369 ,Zonnebloempitten ,100 gr
13, 56.5, 632 ,Zout ,100 gr
0, 0, 0 ,Zout Biscuitje ,100 gr
51, 30, 502 ,Zoute Haring ,100 gr
0, 9.9, 168 ,Zout Koekje ,100 gr
40, 47, 611 ,Zout Stokje ,100 gr
67, 6, 370 ,Zure Room ,100 gr
3.2, 20, 203 ,Zure Zult Beleg ,100 gr
2, 21.4, 244 ,Zuring ,100 gr
2.6, 0.5, 25 ,Zuurkool ,100 gr
4, 0, 24 ,Zuurkoolstamppot ,100 gr
10, 0, 50 ,Zuurtje ,100 gr
95, 0, 380 ,Zwarte Bessen ,100 gr
8, 0, 40 ,"Zwezerik, Kalfs- ",100 gr
4.6, 20, 219 ,Zwitserse Strooikaas ,100 gr
