koolhydraten,vet,kcal,product,eenheid
54.3, 13.9, 229 ,Cake ,1 plak
13, 7, 130 ,"Camembert, 30+ ",100 gr
0, 26, 314 ,"Camembert, 45+ ",100 gr
1, 20, 284 ,Campari ,1 glaasje
4, 0, 65 ,Candybar ,1 stuk
32, 11, 240 ,Cantadou ,100 gr
3.5, 32.3, 328 ,"Cappuccino, Uit Zakje ",1 kop
9.5, 3.6, 82 ,Cashewnoten ,100 gr
22, 42, 578 ,Casselerrib ,100 gr
3, 11, 183 ,Cervelaat ,100 gr
0, 35, 387 ,Champignons ,100 gr
1, 0, 16 ,Cheddar ,100 gr
0, 33, 401 ,Cheeseburger ,100 gr
18.5, 14.3, 263 ,Chili Con Carne ,100 gr
8, 8.7, 145 ,Chinese Kool ,100 gr
1.2, 0.3, 12 ,Chipolatapudding ,100 gr
24.1, 12.4, 225 ,"Chips, Light ",100 gr
61, 26, 502 ,"Chips, Naturel ",100 gr
49, 36, 544 ,Chocoladebiscuit ,100 gr
63.8, 20.8, 470 ,Chocoladehagelslag ,100 gr
63.6, 16.9, 431 ,"Chocolade, Melk- ",100 gr
54.7, 30.3, 518 ,"Chocolademelk, Halfvol ",1 glas
17, 1.8, 84 ,"Chocolademelk, Light ",1 glas
8.1, 2.7, 75 ,"Chocolademelk, Mager ",1 glas
17, 0, 9 ,"Chocolademelk, Vol ",1 glas
19, 4, 140 ,"Chocolade, Met Noten ",100 gr
30, 49, 608 ,Chocolademousse ,100 gr
26.3, 15.2, 252 ,Chocoladepasta ,100 gr
56, 38, 578 ,Chocoladepinda's ,100 gr
58, 28, 520 ,Chocoladepudding ,100 gr
20, 3.2, 125 ,"Chocolade, Puur ",100 gr
52, 32, 512 ,Chocoladesaus ,100 gr
57, 2, 254 ,"Chocoladevla, Mager ",100 gr
15.5, 0.2, 77 ,"Chocoladevla, Vol ",100 gr
12.5, 2.6, 86 ,"Chocoladevlokken, Melk ",100 gr
63, 18, 446 ,"Chocoladevlokken, Puur ",100 gr
64, 17, 429 ,Chocoprince ,1 stuk
17, 6, 120 ,Citroen ,1 stuk
2.5, 0, 10 ,Citroenjenever ,1 glaasje
1, 0, 65 ,Cocktailsaus ,100 gr
7.1, 61, 582 ,Cognac ,1 glaasje
0, 0, 80 ,Confiture ,100 gr
65, 0, 262 ,Corned Beef ,100 gr
0, 25, 289 ,Cornetto ,1 stuk
26, 16, 262 ,Cornflakes ,100 gr
84, 1.2, 381 ,Cottage Cheese ,100 gr
3.2, 3.9, 93 ,Courgette ,100 gr
1, 0, 6 ,Couscous ,100 gr
